"CODIGO","CATEGORIA","SUBCATEGORIA","DESCRIPCION","STOCK","PROVEEDOR","PRECIO_COMPRA","FECHA_PRECIO","PRECIO_VENTA","CODIGO_PROV"
"MN05","MANGUERA","MANGUERA","MANGUERA CORAZA","","","","","30000",""
"MN06","MANGUERA","MANGUERA","MANGUERA DRENAJE","","","","","7000",""
"MN07","MANGUERA","MANGUERA","MANGUERA HIDRAULICA","","","","","150000",""
"MN08","MANGUERA","MANGUERA","MANGUERA PARKER 1/2","","","","","42000",""
"MN09","MANGUERA","MANGUERA","MANGUERA PARKER 5/8","","","","","",""
"MN01MA","MANGUERA","MANULI","MANGUERA MANULI 1 1/8","","","121426,35","27/03/2026","210000","MRI01"
"MN02MA","MANGUERA","MANULI","MANGUERA MANULI 7/8","","","","","160000","MRI02"
"MT04HL","MOTOR","HELICE","HELICE MOTOR SPAL","","","","","35000",""
"MT01HL","MOTOR","HELICE","HELICE MOTOR DONGING ALUMINIO","","","","","85000","VSC24"
"MT03HL","MOTOR","HELICE","ASPA MOTOR BLOWER DONGING","","","","","180000","VSC26"
"MT02HL","MOTOR","HELICE","HELICE MOTOR DONGING","","","","","160000","VSC25"
"MT01BL","MOTOR","BLOWER","MOTOR BLOWER AIRE CABINA ","","","","","420000",""
"MT02BL","MOTOR","BLOWER","MOTOR BLOWER HINO CHEVROLET  ","","","","","490000",""
"MT03BL","MOTOR","BLOWER","MOTOR BLOWER MERCEDES 515 ","","","","","490000",""
"MT04BL","MOTOR","BLOWER","MOTOR BLOWER RENAULT DUSTER ","","","","","420000",""
"MT05BL","MOTOR","BLOWER","MOTOR BLOWER RENAULT MASTER ","","","","","",""
"MT06BL","MOTOR","BLOWER","MOTOR BLOWER SPRINTER 413 ","","","","","455000",""
"MT01CA","MOTOR","CAMAROTE","MODULO EVAPORADOR AIRE CAMAROTE","","","","","560000",""
"MT02CA","MOTOR","CAMAROTE","MOTOR AIRE CAMAROTE  ","","","","","150000",""
"MT01CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR 3 SOPORTE 24VLT ","","TRANSAIRE","","","365000","VSC38"
"MT02CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR DONGING 12VLT PEQ","","","","","365000",""
"MT03CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR DONGING 24VLT PEQ","","TRANSAIRE S.A.S","202800","9/06/2026","360000","VSE07"
"MT04CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR HOMOLOGADO 12VLT GRD","","","","","280000",""
"MT05CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR HOMOLOGADO 24VLT GRD","","","","","280000",""
"MT06CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR 12VLT REM/FDO ","","","","","170000",""
"MT07CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR 24VLT REM/FDO ","2","","","","170000",""
"MT08CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR 12VLT SPAL","2","","","","610000",""
"MT09CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR 24VLT SPAL","4","","","","610000",""
"MT01ES","MOTOR","ESCOBILLA","ESCOBILLA ALTERNADOR   ","","","","","15000",""
"MT02ES","MOTOR","ESCOBILLA","ESCOBILLA MOTOR CONDENSADOR  ","","","","","6000",""
"MT03ES","MOTOR","ESCOBILLA","ESCOBILLA MOTOR EVAPORADOR  ","","","","","6000",""
"MT04ES","MOTOR","ESCOBILLA","ESCOBILLA MOTOR TK-RT  ","","","","","20000",""
"MT01EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 4 SOPORTE 24VLT","","TRANSAIRE","","","","VSC23"
"MT02EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR AIRE CAMAROTE ","","","","","150000",""
"MT03EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR CARCASA  ","","","","","35000",""
"MT04EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR HOMOLOGADO 12VLT GRD","","","","","",""
"MT05EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR HOMOLOGADO 24VLT GRD","","","","","220000",""
"MT06EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 12VLT SPAL","","","","","610000",""
"MT07EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 12VLT SPAL PEQ","","","","","420000",""
"MT08EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 24VLT SPAL","3","","","","610000",""
"MT09EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 24VLT SPAL PEQ","","","","","420000",""
"MT10EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 12VLT REM/FDO ","","","","","180000",""
"MT11EV","MOTOR","EVAPORADOR","MOTOR EVAPORADOR 24VLT REM/FDO ","5","","","","180000",""
"MT01RJ","MOTOR","REJILLA","REJILLA LATERAL MODULO CONDENSADOR","","","","","50000",""
"MT02RJ","MOTOR","REJILLA","REJILLA MOTOR CONDENSADOR CUADRADA ","","","33613","31/03/2026","90000","REJILLA NILON NUEVO MODELO "
"MT03RJ","MOTOR","REJILLA","REJILLA MOTOR CONDENSADOR REDONDA ","","","32000","31/03/2026","80000","REJILLA DE NYLON TRANSAIRE "
"MT01SP","MOTOR","SOPORTE","SOPORTE ACERO CONDENSADOR QRX30 ","","","","","755000",""
"MT02SP","MOTOR","SOPORTE","SOPORTE ACERO CONDENSADOR QRX40 ","","","","","675000",""
"MT03SP","MOTOR","SOPORTE","SOPORTE ACERO TORNILLO TAPA ","","","","","25000","ZLH08E"
"NT01","NITROGENO","NITROGENO","CARGA NITROGENO   ","","","","","40000",""
"OR01","ORING","ORING","KIT ORING  ","","","","","64000",""
"OR02","ORING","ORING","ORING 1"" 1/18","","","","","2000",""
"OR03","ORING","ORING","ORING 1/2   ","","","","","1500",""
"OR04","ORING","ORING","ORING 13/32   ","","","","","1500","O110"
"OR05","ORING","ORING","ORING 5/16   ","","","","","1000",""
"OR06","ORING","ORING","ORING 5/8   ","","","","","2000",""
"OR07","ORING","ORING","ORING 7/8   ","","","","","2000",""
"OR08","ORING","ORING","ORING PLATO VALVULA  ","","","","","4000",""
"OR09","ORING","ORING","ORING SELLO   ","","","","","10000",""
"OR10","ORING","ORING","ORING TAPA   ","","","","","5000",""
"OR11","ORING","ORING","ORING VISOR   ","","","","","",""
"OR12","ORING","ORING","ORING VISOR FK40  ","","","","","3000",""
"PN01CO","PANALES","CONDENSADOR","PANAL CONDENSADOR MERCEDES 515 DLNT","","","","","390000",""
"PN02CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX20 COMPLETO","","","","","",""
"PN03CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX20 DLTR","","","","","",""
"PN04CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX20 TRSR","","","","","",""
"PN05CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX30 COMPLETO","","","","","",""
"PN06CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX30 DLTR","","","","","",""
"PN07CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX30 TRSR","","","","","",""
"PN08CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX40 COMPLETO","","","","","","PCD17"
"PN09CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX40 DLTR","","","","","",""
"PN10CO","PANALES","CONDENSADOR","PANAL CONDENSADOR QRX40 TRSR","","","","","",""
"PN11CO","PANALES","CONDENSADOR","PANAL CONDENSADOR RENAULT DUSTER ","","","","","290000",""
"PN12CO","PANALES","CONDENSADOR","PANAL CONDENSADOR RENAULT MASTER ","","","","","340000",""
"PN13CO","PANALES","CONDENSADOR","PANAL CONDENSADOR YOUNTONG  ","","","","","2450000",""
"PN01EV","PANALES","EVAPORADOR","PANAL EVAP DLTR SCANIA/HINO DER","","","","","280000","003"
"PN02EV","PANALES","EVAPORADOR","PANAL EVAP DLTR SCANIA/HINO IZQ","","","","","280000","001"
"PN03EV","PANALES","EVAPORADOR","PANAL EVAPORADOR MERCEDES 515 DLTR","","","","","",""
"PN04EV","PANALES","EVAPORADOR","PANAL EVAPORADOR MERCEDES 515 TRSR","","","","","",""
"PN05EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX20 COMPLETO","","TRANSAIRE S.A.S.","2070193,94","30/03/2026","","PED17"
"PN06EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX20 DLTR","","","","","0",""
"PN07EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX20 TRSR","","","","","0",""
"PN08EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX30 COMPLETO ","","TRANSAIRE S.A.S.","2538737,81","30/03/2026","","PCD26"
"PN09EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX30 DLTR ","","","","","",""
"PN10EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX30 TRSR ","","","","","",""
"PN11EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX40 COMPLETO ","","TRANSAIRE S.A.S.","","","1567000","PED13"
"PN12EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX40 DLTR ","","","","","",""
"PN13EV","PANALES","EVAPORADOR","PANAL EVAPORADOR QRX40 TRSR ","","","","","",""
"PN14EV","PANALES","EVAPORADOR","PANAL EVAPORADOR RENAULT DUSTER ","","","","","240000",""
"PN15EV","PANALES","EVAPORADOR","PANAL EVAPORADOR RENAULT MASTER DLTR","","","","","340000",""
"PN16EV","PANALES","EVAPORADOR","PANAL EVAPORADOR SPRINTER 413 ","","","","","",""
"PN17EV","PANALES","EVAPORADOR","PANAL EVAPORADOR W PLUS","","TRANSAIRE S.A.S.","1780240","22/05/2026","","PED05"
"PO01AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 140AMP 1CB ","","","113036,73","27/03/2026","165000","OPN30C"
"PO02AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 140AMP 2CA ","","","","","160000","OPN21A"
"PO03AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 140AMP 2CB ","","","","","180000","OPN30"
"PO04AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 150AMP 2CA ","","","","","200000",""
"PO06AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 80AMP 1CB  MZ PEQ","","","","","120000","OPN145"
"PO07AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 80AMP 2CA ","","","","","160000",""
"PO01CM","POLEA","COMPRESOR","POLEA COMPRESOR FK40  ","","","","","800000",""
"PO02CM","POLEA","COMPRESOR","POLEA COMPRESOR FK40 2CB ","","","","","1000000",""
"PO03CM","POLEA","COMPRESOR","POLEA COMPRESOR TM31 2CA ","","","","","275000",""
"PO04CM","POLEA","COMPRESOR","POLEA COMPRESOR TM31 2CB ","","","","","230000",""
"PO05CM","POLEA","COMPRESOR","POLEA COMPRESOR TM31 MC ","","","","","",""
"PO01PA","POLEA","PATIN","POLEA PATIN CA","","","","","70000",""
"PO02PA","POLEA","PATIN","POLEA PATIN CB ALTERNADOR ","","","","","190000",""
"PO03PA","POLEA","PATIN","POLEA PATIN CB COMPRESOR ","","","","","190000",""
"PO01RE","POLEA","RECTIFICADA","POLEA RECTIFICADA DISCO CLUTCH FK40","","","","","250000",""
"PO02RE","POLEA","RECTIFICADA","POLEA RECTIFICADA TORNO  ","","","","","",""
"RD01AL","RODAMIENTO","ALTERNADOR","RODAMIENTO ALT BOSCH DLTR","","","","","75000",""
"RD02AL","RODAMIENTO","ALTERNADOR","RODAMIENTO ALT BOSCH DLTR","","","","","75000",""
"RD03AL","RODAMIENTO","ALTERNADOR","RODAMIENTO ALT BOSCH TRSR","","","","","90000",""
"RD04AL","RODAMIENTO","ALTERNADOR","RODAMIENTO ALT BOSCH TRSR 80/110","","","","","35000",""
"RD01PO","RODAMIENTO","POLEA","RODAMIENTO POLEA PATIN  ","","","","","45000",""
"RD02PO","RODAMIENTO","POLEA","RODAMIENTO POLEA TENSOR  ","","","","","42000",""
"RD01","RODAMIENTO","RODAMIENTO","RODAMIENTO 5210   ","2","","","","365000",""
"RD02","RODAMIENTO","RODAMIENTO","RODAMIENTO 6003   ","","","","","","60032RSC3K"
"RD03","RODAMIENTO","RODAMIENTO","RODAMIENTO 608   ","","RODAMEC SAS","8330","15/05/2026","16000","RODAMIENTOS RIGIDOS DE BOLAS 608-2RSC3 NTN"
"RD04","RODAMIENTO","RODAMIENTO","RODAMIENTO 6202   ","","","","","",""
"RD05","RODAMIENTO","RODAMIENTO","RODAMIENTO 6203   ","","","","","25000",""
"RD06","RODAMIENTO","RODAMIENTO","RODAMIENTO 6205   ","","","","","45000",""
"RD07","RODAMIENTO","RODAMIENTO","RODAMIENTO 6210   ","10","RODAMEC SAS","69020","15/05/2026","110000","RODAMEINTO RIGIDO DE BOLAS 6210-2RSC3 KOYO"
"RD08","RODAMIENTO","RODAMIENTO","RODAMIENTO 6303   ","4","","","","",""
"RD09","RODAMIENTO","RODAMIENTO","RODAMIENTO 6305   ","","","","","50000",""
"RD10","RODAMIENTO","RODAMIENTO","RODAMIENTO 6306   ","","","","","68000",""
"RD11","RODAMIENTO","RODAMIENTO","RODAMIENTO BITZER   ","","","","","",""
"RD12","RODAMIENTO","RODAMIENTO","RODAMIENTO CIGUEÑAL FK40  ","","","","","",""
"RB01","RUBATEX","RUBATEX","RUBATEX    ","","","","","20000",""
"SL01","SILICA","SILICA","SILICA DUSTER   ","","","","","30000",""
"SL02","SILICA","SILICA","SILICA MASTER   ","","","","","30000",""
"SU02MT","SUJECIONES","METALICO","ABRAZADERA METALICA 10-16MM","","","","","",""
"SU03MT","SUJECIONES","METALICO","ABRAZADERA METALICA 12-20MM","","","","","",""
"SU04MT","SUJECIONES","METALICO","ABRAZADERA METALICA 16-27MM","","","","","",""
"SU05MT","SUJECIONES","METALICO","ABRAZADERA METALICA 21-38MM","","","","","",""
"SU01MT","SUJECIONES","METALICO","ABRAZADERA METALICA 8-16MM","","","","","",""
"SU01PL","SUJECIONES","PLASTICO","AMARRE PLASTICO GRD","","","","","1000",""
"SU02PL","SUJECIONES","PLASTICO","AMARRE PLASTICO MED","","","","","500",""
"SU03PL","SUJECIONES","PLASTICO","AMARRE PLASTICO PEQ","","","","","",""
"TR01CH","TORNILLOS","CHAVETA","CHAVETA 6MM   ","","","","","",""
"TR02CH","TORNILLOS","CHAVETA","CHAVETA 8MM   ","","","","","",""
"TR03CH","TORNILLOS","CHAVETA","TORNILLO CHAVETA 6MM","","","","","6000",""
"TR04CH","TORNILLOS","CHAVETA","TORNILLO  CHAVETA 8MM  ","","","","","6000",""
"TR01ST","TORNILLOS","SOPORTE TAPA","PESA SOPORTE TAPA  ","","","","","10000",""
"TR02ST","TORNILLOS","SOPORTE TAPA","PESA Y TORNILLO SOPORTE TAPA","","","","","15000",""
"TR03ST","TORNILLOS","SOPORTE TAPA","SOPORTE TAPA COMPLETO  ","","","","","40000",""
"TR04ST","TORNILLOS","SOPORTE TAPA","TORNILLO SOPORTE TAPA  ","","","","","5000",""
"TR01TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 100","","TRANSAIRE S.A.S.","","","",""
"TR02TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 130","","TRANSAIRE S.A.S.","","","",""
"TR03TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 160","","TRANSAIRE S.A.S.","","","",""
"TR04TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 30","","TRANSAIRE S.A.S.","","","",""
"TR05TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 35","","TRANSAIRE S.A.S.","","","",""
"TR06TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 40","","TRANSAIRE S.A.S.","","","",""
"TR07TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 50","","TRANSAIRE S.A.S.","","","",""
"TR08TS","TORNILLOS","TRANSAIRE","TORNILLO 10MM X 60","","TRANSAIRE S.A.S.","","","",""
"TR09TS","TORNILLOS","TRANSAIRE","TORNILLO 12MM X 120","","TRANSAIRE S.A.S.","","","",""
"TR10TS","TORNILLOS","TRANSAIRE","TORNILLO 12MM X 130","","TRANSAIRE S.A.S.","","","",""
"TR11TS","TORNILLOS","TRANSAIRE","TORNILLO 12MM X 160","","TRANSAIRE S.A.S.","","","",""
"TR12TS","TORNILLOS","TRANSAIRE","TORNILLO 12MM X 30","","TRANSAIRE S.A.S.","","","",""
"TR13TS","TORNILLOS","TRANSAIRE","TORNILLO 12MM X 50","","TRANSAIRE S.A.S.","","","",""
"TR14TS","TORNILLOS","TRANSAIRE","TORNILLO 14MM X 150","","TRANSAIRE S.A.S.","","","",""
"TR01VR","TORNILLOS","VARIOS","TORNILLO BRISTOL   ","","","","","",""
"TR02VR","TORNILLOS","VARIOS","TORNILLO HEXAGONAL   ","","","","","","FTC198"
"TR03VR","TORNILLOS","VARIOS","TORNILLO PASANTE   ","","","","","",""
"TR04VR","TORNILLOS","VARIOS","TORNILLO PUNTABROCA   ","","","","","",""
"TB01CO","TUBO","COBRE","TUBO COBRE 1""","","","","","91000",""
"TB02CO","TUBO","COBRE","TUBO COBRE 1"" 1/18","","","","","85000",""
"TB03CO","TUBO","COBRE","TUBO COBRE 1/2  ","","","","","26000",""
"TB04CO","TUBO","COBRE","TUBO COBRE 1/4  ","","","","","13000",""
"TB05CO","TUBO","COBRE","TUBO COBRE 3/4  ","","","","","50000",""
"TB06CO","TUBO","COBRE","TUBO COBRE 3/8  ","","","","","19000",""
"TB07CO","TUBO","COBRE","TUBO COBRE 5/16  ","","","","","20000",""
"TB08CO","TUBO","COBRE","TUBO COBRE 5/8  ","","","","","65000",""
"TB09CO","TUBO","COBRE","TUBO COBRE 7/8  ","","","","","64000",""
"TU01","TUERCAS","TUERCAS","TUERCA 1/2   ","","","","","6000",""
"TU02","TUERCAS","TUERCAS","TUERCA 1/4   ","","","","","4000","FTT66"
"TU03","TUERCAS","TUERCAS","TUERCA 3/16   ","","","","","500","FTT31"
"TU04","TUERCAS","TUERCAS","TUERCA 3/8   ","","","","","5000",""
"TU05","TUERCAS","TUERCAS","TUERCA 5/16   ","","","","","3000",""
"TU06","TUERCAS","TUERCAS","TUERCA 5/8   ","","","","","8000",""
"HR06","HERRAJES","HERRAJES","TUERCA EJE ROSCADA","","TRANSAIRE S.A.S.","","","25000","ZBY34A"
"UN01CO","UNION","COBRE","UNION COBRE 1"" 1/8  ","","","","","12000",""
"UN02CO","UNION","COBRE","UNION COBRE 1/2  ","","","","","4000",""
"UN03CO","UNION","COBRE","UNION COBRE 3/4  ","","","","","8000",""
"UN04CO","UNION","COBRE","UNION COBRE 3/8  ","","","","","7000",""
"UN05CO","UNION","COBRE","UNION COBRE 5/8  ","","","","","7000",""
"UN06CO","UNION","COBRE","UNION COBRE 7/8  ","","","","","10000",""
"UN01TR","UNION","TRANSAIRE","UNION 1/2 CON SERVICIO  ","","","","","160000",""
"UN02TR","UNION","TRANSAIRE","UNION 1/2 SIN SERVICIO  ","","","","","87000",""
"UN03TR","UNION","TRANSAIRE","UNION 5/8 CON SERVICIO  ","","","","","150000",""
"UN04TR","UNION","TRANSAIRE","UNION 5/8 SIN SERVICIO  ","","","","","78000",""
"UN01UT","UNION","UNION T","UNION T COBRE 1"" 1/8  ","","","","","24000",""
"UN02UT","UNION","UNION T","UNION T COBRE 1/2  ","","","","","6000",""
"UN03UT","UNION","UNION T","UNION T COBRE 3/4  ","","","","","12000",""
"UN04UT","UNION","UNION T","UNION T COBRE 3/8  ","","","","","8000",""
"UN05UT","UNION","UNION T","UNION T COBRE 5/8  ","","","","","10000",""
"UN06UT","UNION","UNION T","UNION T COBRE 7/8  ","","","","","16000",""
"VL01EX","VALVULA","BLOQUE","VALVULA EXP BLOQUE","","","","","140000",""
"VL01CO","VALVULA","COMPRESOR","VALVULA MANIFOLD COMP FK40","","","","","200000",""
"VL02CO","VALVULA","COMPRESOR","VALVULA COMPRESOR RENAULT MASTER","","","","","90000",""
"VL02EX","VALVULA","EXPANSION","VALVULA EXP SCANIA DLTR","","","","","140000",""
"VL03EX","VALVULA","EXPANSION","VALVULA EXP DUSTER","","","","","200000",""
"VL04EX","VALVULA","EXPANSION","VALVULA EXP HINO","","","","","140000",""
"VL05EX","VALVULA","EXPANSION","VALVULA EXP MANIFOLD","","","","","190000",""
"VL06EX","VALVULA","EXPANSION","VALVULA EXP MASTER DLTR","","","","","200000",""
"VL07EX","VALVULA","EXPANSION","VALVULA EXP MASTER TRSR","","","","","140000",""
"VL08EX","VALVULA","EXPANSION","VALVULA EXP MERCEDES 515 DLTR","","","","","160000",""
"VL09EX","VALVULA","EXPANSION","VALVULA EXP MERCEDES 515 TRSR","","","","","160000",""
"VL10EX","VALVULA","EXPANSION","VALVULA EXP PASO","","","","","215000",""
"VL11EX","VALVULA","EXPANSION","VALVULA EXP R-134 DANFOSS","4","","","","390000",""
"VL12EX","VALVULA","EXPANSION","VALVULA EXP R-404 DANFOSS","","","","","450000",""
"VL13EX","VALVULA","EXPANSION","VALVULA EXP SERVICIO","","","","","3000",""
"VL14EX","VALVULA","EXPANSION","VALVULA EXP UNIVERSAL","","","","","70000",""
"VL15EX","VALVULA","EXPANSION","VALVULA EXP YUTONG 4.5 TN","","","","","620000",""
"VL01OR","VALVULA","ORIFICIOS","ORIFICIO 03 DANFOSS","3","TRANSAIRE S.A.S.","","","130000","RVA20"
"VL02OR","VALVULA","ORIFICIOS","ORIFICIO 04 DANFOSS","4","TRANSAIRE S.A.S.","","","130000","RVA34"
"VL03OR","VALVULA","ORIFICIOS","ORIFICIO 05 DANFOSS","5","TRANSAIRE S.A.S.","85200","15/05/2026","130000","RVA35"
"VL04OR","VALVULA","ORIFICIOS","ORIFICIO 06 DANFOSS","7","TRANSAIRE S.A.S.","","","130000","RVA22"
"VL01","VALVULA","VALVULA","VALVULA DE PASO","","","","","",""
"VL02","VALVULA","VALVULA","VALVULA DE SERVICIO","","","","","",""
"VL03","VALVULA","VALVULA","VALVULA SOLENOIDE","","","288021,85","27/03/2026","415000","RVA24"
"YM03","YUMBOLO","YUMBOLO","YUMBOLO QRX30   ","","","","","60000",""
"YM02","YUMBOLO","YUMBOLO","YUMBOLO QRX40   ","","","","","60000",""
"YM01","YUMBOLO","YUMBOLO","YUMBOLO X METRO   ","","","","","25000",""
"EL04TE","ELECTRICO","TARJETA ELEC","SOPORTE PORTA RELAY","","","","","120000",""
"SK01","SIKAFLEX","SIKAFLEX","SIKAFLEX GRD","","","","","35000",""
"SK02","SIKAFLEX","SIKAFLEX","SIKAFLEX PEQ","","","","","28000",""
"SO02VA","SOLDADURA","VARILLAS","VARILLA SOLDADURA BRONCE","","","","","4500",""
"SO03VA","SOLDADURA","VARILLAS","VARILLA SOLDADURA PLATA","","INVERPRIMOS S.A.S.","1600","21/05/2026","3000","480-0016"
"SO01VA","SOLDADURA","VARILLAS","VARILLA SOLDADURA ALUMINIO","","","","","2500",""
"HR07","HERRAJES","HERRAJES","TORNILLO EJE ROSCADO","","TRANSAIRE S.A.S.","","","25000","FTG76"
"HR08","HERRAJES","HERRAJES","BUJE SEPARADOR 12MM","","TRANSAIRE S.A.S.","","","15000","ZBY33A"
"HR09","HERRAJES","HERRAJES","BUJE DOBLE PERFORACION","","TRANSAIRE S.A.S.","","","30000","ZBY114"
"HR10","HERRAJES","HERRAJES","TORNILLO TENSOR FK CON BUJE","","TRANSAIRE S.A.S.","","","50000","SHZ153"
"PO08AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 50/110AMP 2CA","","","","","125000","OPN95Z"
"HR11","HERRAJES","HERRAJES","SOPORTE ALT BOSCH 140 AMP","","TRANSAIRE S.A.S.","","","","SHZ150Z"
"HR12","HERRAJES","HERRAJES","BANDERIN","","TRANSAIRE S.A.S.","7700","28/03/2026","","ZLY15Z"
"HR13","HERRAJES","HERRAJES","TENSOR BANDERIN","","TRANSAIRE S.A.S.","26373","12/03/2026","","THB111Z"
"HR14","HERRAJES","HERRAJES","SOPORTE BANDERIN","","TRANSAIRE S.A.S.","33552","28/05/2026","","SHZ151Z"
"HR15","HERRAJES","HERRAJES","BANDERIN COMPLETO","","THERMO AIR S.A.S.","","","",""
"PN18EV","PANALES","EVAPORADOR","PANAL EVAPORADOR DUSTER TURBO","","NEVADA","","","270000","1915K0501-A"
"PO05AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 80AMP 1CB  FRR","","","","","220000","OPN119Z"
"YM04","YUMBOLO","YUMBOLO","YUMBOLO WPLUS","","","","","90000",""
"EL15TM","ELECTRICO","TERMINAL","TERMINAL POTENCIA","","","","","1000",""
"HR16","HERRAJES","HERRAJES","BASE COMPRESOR TM31 FRR","","TRANSAIRE S.A.S.","187577","4/06/2026","","DHB135Z"
"EL01TH","ELECTRICO","TERMOSTATO","TERMOSTATO UNIVERSAL","","","","","25000",""
"PO09AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 150AMP 1CB","","","","","200000",""
"RA01","RACOR","RACOR","RACOR BRONCE 3/8","","","","","",""
"RA02","RACOR","RACOR","RACOR BRONCE 5/8","","","","","",""
"RA03","RACOR","RACOR","RACOR BRONCE 3/4","","","","","",""
"RA04","RACOR","RACOR","RACOR BRONCE 7/8","","","","","",""
"RA05","RACOR","RACOR","RACOR BRONCE 1 1/8","","","","","",""
"TR05VR","TORNILLOS","VARIOS","TORNILLO 3/16 X 1 COMPL","","","","","1000",""
"MT07BL","MOTOR","BLOWER","MOTOR BLOWER CHEVROLET D-MAX","","","","","320000",""
"MT08BL","MOTOR","BLOWER","MOTOR BLOWER CHEVROLET D-MAX","","","","","320000",""
"AP01MF","ACOPLE","MANULI FLANCHE","ACOPLE 1 1/8 RECTO MANULI FLANCHE","","","","","180000",""
"EL08FU","ELECTRICO","FUSIBLE","FUSIBLE 100 AMP","","","25000","20/06/2026","35000",""
"MN01DR","MANGUERA","DRENAJE","DRENAJE INOXIDABE","","","","","","DAF85"
"RM01","REMACHE","REMACHE","REMACHE 3/16","","","","","500",""
"HR17","HERRAJES","HERRAJES","KIT BASE Y TENSOR MERCEDES ATEGO","","TRANSAIRE S.A.S.","","","595000",""
"RF01","REFRIGERACION","REFRIGERACION","MOTOR EVAP/COND 12VLT DONGING SPAL","","TRANSAIRE S.A.S.","202800","9/06/2026","360000","VSE07"
"AL07PD","ALTERNADOR","PORTADIODO","PRUEBA PRUEBA","","","","","456258",""
"OR13","ORING","ORING","ORING HINO","0","","","","2000",""
"TR15TS","TORNILLOS","TRANSAIRE","TORNILLO 8MM X 100","0","TRANSAIRE","","","5000",""
"TR06VR","TORNILLOS","VARIOS","TORNILLO 8MM X 25","0","","","","2000",""
"CM21PS","COMPRESOR","PISTON","JUEGO ANILLOS PISTON FK-40 /470","0","","","","187000",""
"PO10AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 140AMP 2CB VOLVO","0","","143326","22/06/2026","220000","OPN111"
"TU07","TUERCAS","TUERCAS","TUERCA FLER","0","","","","3000",""
